#GRM21BR72A104KAC4  |X| series
#XUnit:Frequency[Hz], YUnit:Reactance[ohm]
48720313.96641589,0.12014394657804899
50078977.9023951,0.1258821892604524
51475530.9146271,0.13143547328542826
52911029.61620148,0.1366166023649486
54386560.08598905,0.14128618487227637
55903238.69035387,0.14533810547650305
57462212.927781425,0.14870473943618612
59064662.297059946,0.1513747116144036
60711799.189673714,0.15341409694516173
62404869.807081506,0.15497898312633937
64145155.10357628,0.15630745268215154
65933971.7554373,0.15768616726136872
67772673.15711011,0.15939947761096565
69662650.44516586,0.16167927787525502
71605333.55081703,0.16467350596592126
73602192.28178331,0.16844061077311281
75654737.43432899,0.17296498210369213
77764521.93631011,0.17818214252116862
79933142.02209945,0.18400356442117588
82162238.4402751,0.19033556622215386
84453497.69498928,0.19709104511415454
86808653.32195385,0.20419523484577054
89229487.20001069,0.2115874170242962
91717830.89927629,0.21922032121910795
94275567.06688371,0.22705844760067584
96904630.85136709,0.2350760634873415
99607011.36676948,0.24325527151459558
102384753.1975794,0.2515843243762759
105239957.94563524,0.2600562361767109
108174785.82016976,0.26866767833443905
111191457.27219386,0.2774181222039294
114292254.67446116,0.2863091839541647
117479524.04827888,0.2953441296513234
120755676.83847705,0.30452750443115956
124123191.73787393,0.31386485634682765
127584616.56262232,0.32336253169252516
131142570.17985187,0.3330275238777103
134799744.48906955,0.34286736218975244
138558906.45881298,0.35289003012877906
142422900.22010282,0.3631039055764916
146394649.21827236,0.37351771702378334
150477158.42480806,0.3841405115656887
154673516.61086872,0.3949816314883194
158986898.6842096,0.4060506971097471
163420568.09127283,0.41735759416369705
167977879.28626862,0.4289124644837994
172662280.269108,0.44072569909618353
177477315.19411463,0.4528079330891033
182426627.0514823,0.465170041822002
187513960.42351356,0.4778231381796073
192743164.3177183,0.49077857068160957
198118195.07892215,0.5040479223346134
203643119.382583,0.5176430101673368
209322117.3115813,0.5315758854279183
215159485.51881632,0.5458588344476941
221159640.47799343,0.5605043801921327
227327121.8250701,0.5755252845291994
233666595.79288116,0.5909345512501342
240182858.7415492,0.6067454298789892
246880840.78734383,0.6229714203063677
253765609.5327427,0.6396262782806021
260842373.90050903,0.6567240217866788
268116488.07469383,0.6742789383401848
275593455.55153716,0.6923055932206632
283278933.3033408,0.7108188386664012
291178736.0584547,0.729833824050865
299298840.70062417,0.7493660070599949
307645390.79101634,0.7694311658892002
316224701.2163582,0.7900454124793683
325043262.96669143,0.8112252068122131
334107748.0463708,0.8329873722870039
343425014.5220085,0.8553491122027607
353002111.71119833,0.8783280273725409
362846285.5159303,0.9019421348990718
372964983.9047451,0.9262098881437931
383365862.54776347,0.9511501979241201
394056790.6088645,0.9767824549763481
405045856.6993879,1.003126553724004
416341374.9978662,1.0302029173935003
427951891.54042274,1.0580325245207023
439886190.686583,1.0866369368932685
452153301.765406,1.1160383289746743
464762505.9069485,1.146259518856362
477723343.06424594,1.1773240007849357
491045619.2311078,1.2092559793115303
504739413.86120415,1.2420804051108654
518815087.49403864,1.2758230125180292
533283289.59359777,1.3105103588322038
548154966.6055856,1.346169865438329
563441370.2393615,1.3828298608007934
579154065.9808261,1.4205196253875594
595304941.8427166,1.4592694385894214
611906217.3589095,1.499110627707398
628970452.829562,1.5400756190922344
646510558.8240576,1.5821979915336672
664539805.9489743,1.6255125320141948
683071834.8884403,1.6700552939625373
702120666.7244962,1.715863658166375
721700713.54525,1.7629763965322933
741826789.3488737,1.8114337389136186
762514121.2516674,1.861277443263865
783778361.0086946,1.9125508694153825
805635596.8556867,1.9652990568291646
828102365.6811796,2.0195688067132482
851195665.5381079,2.075408768963596
874932968.5042924,2.1328695344428703
899332233.9015862,2.1920037331799183
924411921.883646,2.2528661391455302
950191007.4026424,2.31551378233963
976688994.5654432,2.380006069011044
1003925931.3901656,2.4464049109251813
1031922424.9742258,2.5147748646974994
1060699657.0853982,2.585183282323382
1090279400.187646,2.657700474159115
1120684033.9138813,2.7323998857463008
1151936561.998082,2.8093582900248624
1184060629.679616,2.8886559966511096
1217080541.5928984,2.9703770803294196
1251021280.1559596,3.054609630283115
1285908524.4717927,3.141446023235526
1321768669.7568264,3.230983222551389
1358628847.3111773,3.323323106506346
