Freq.	V(n001)/I(C1)
2.45470891568502e+003	(3.62364006916351e+001dB,-8.99902793504748e+001°)
2.51188643150957e+003	(3.60364006001490e+001dB,-8.99900529273534e+001°)
2.57039578276885e+003	(3.58364005043514e+001dB,-8.99898212301524e+001°)
2.63026799189537e+003	(3.56364004040389e+001dB,-8.99895841360220e+001°)
2.69153480392690e+003	(3.54364002989988e+001dB,-8.99893415192511e+001°)
2.75422870333815e+003	(3.52364001890084e+001dB,-8.99890932512002e+001°)
2.81838293126444e+003	(3.50364000738342e+001dB,-8.99888392002335e+001°)
2.88403150312659e+003	(3.48363999532321e+001dB,-8.99885792316487e+001°)
2.95120922666637e+003	(3.46363998269461e+001dB,-8.99883132076061e+001°)
3.01995172040200e+003	(3.44363996947085e+001dB,-8.99880409870551e+001°)
3.09029543251358e+003	(3.42363995562387e+001dB,-8.99877624256596e+001°)
3.16227766016836e+003	(3.40363994112431e+001dB,-8.99874773757214e+001°)
3.23593656929627e+003	(3.38363992594140e+001dB,-8.99871856861019e+001°)
3.31131121482590e+003	(3.36363991004294e+001dB,-8.99868872021421e+001°)
3.38844156139201e+003	(3.34363989339521e+001dB,-8.99865817655801e+001°)
3.46736850452530e+003	(3.32363987596289e+001dB,-8.99862692144678e+001°)
3.54813389233574e+003	(3.30363985770902e+001dB,-8.99859493830848e+001°)
3.63078054770100e+003	(3.28363983859486e+001dB,-8.99856221018503e+001°)
3.71535229097171e+003	(3.26363981857989e+001dB,-8.99852871972333e+001°)
3.80189396320559e+003	(3.24363979762163e+001dB,-8.99849444916610e+001°)
3.89045144994279e+003	(3.22363977567565e+001dB,-8.99845938034239e+001°)
3.98107170553495e+003	(3.20363975269538e+001dB,-8.99842349465799e+001°)
4.07380277804111e+003	(3.18363972863208e+001dB,-8.99838677308557e+001°)
4.16869383470333e+003	(3.16363970343472e+001dB,-8.99834919615459e+001°)
4.26579518801591e+003	(3.14363967704984e+001dB,-8.99831074394095e+001°)
4.36515832240164e+003	(3.12363964942148e+001dB,-8.99827139605644e+001°)
4.46683592150961e+003	(3.10363962049103e+001dB,-8.99823113163795e+001°)
4.57088189614873e+003	(3.08363959019713e+001dB,-8.99818992933636e+001°)
4.67735141287196e+003	(3.06363955847552e+001dB,-8.99814776730527e+001°)
4.78630092322636e+003	(3.04363952525892e+001dB,-8.99810462318937e+001°)
4.89778819368444e+003	(3.02363949047687e+001dB,-8.99806047411261e+001°)
5.01187233627270e+003	(3.00363945405558e+001dB,-8.99801529666608e+001°)
5.12861383991362e+003	(2.98363941591782e+001dB,-8.99796906689556e+001°)
5.24807460249770e+003	(2.96363937598267e+001dB,-8.99792176028883e+001°)
5.37031796370250e+003	(2.94363933416544e+001dB,-8.99787335176270e+001°)
5.49540873857622e+003	(2.92363929037742e+001dB,-8.99782381564966e+001°)
5.62341325190346e+003	(2.90363924452574e+001dB,-8.99777312568431e+001°)
5.75439937337154e+003	(2.88363919651312e+001dB,-8.99772125498940e+001°)
5.88843655355586e+003	(2.86363914623774e+001dB,-8.99766817606159e+001°)
6.02559586074354e+003	(2.84363909359295e+001dB,-8.99761386075686e+001°)
6.16595001861479e+003	(2.82363903846709e+001dB,-8.99755828027560e+001°)
6.30957344480190e+003	(2.80363898074322e+001dB,-8.99750140514729e+001°)
6.45654229034652e+003	(2.78363892029891e+001dB,-8.99744320521493e+001°)
6.60693448007592e+003	(2.76363885700594e+001dB,-8.99738364961900e+001°)
6.76082975391978e+003	(2.74363879073005e+001dB,-8.99732270678110e+001°)
6.91830970918932e+003	(2.72363872133068e+001dB,-8.99726034438722e+001°)
7.07945784384134e+003	(2.70363864866061e+001dB,-8.99719652937060e+001°)
7.24435960074986e+003	(2.68363857256570e+001dB,-8.99713122789415e+001°)
7.41310241300913e+003	(2.66363849288455e+001dB,-8.99706440533255e+001°)
7.58577575029179e+003	(2.64363840944812e+001dB,-8.99699602625387e+001°)
7.76247116628687e+003	(2.62363832207946e+001dB,-8.99692605440075e+001°)
7.94328234724277e+003	(2.60363823059322e+001dB,-8.99685445267121e+001°)
8.12830516164094e+003	(2.58363813479537e+001dB,-8.99678118309893e+001°)
8.31763771102666e+003	(2.56363803448269e+001dB,-8.99670620683314e+001°)
8.51138038202371e+003	(2.54363792944240e+001dB,-8.99662948411798e+001°)
8.70963589956075e+003	(2.52363781945172e+001dB,-8.99655097427143e+001°)
8.91250938133740e+003	(2.50363770427731e+001dB,-8.99647063566372e+001°)
9.12010839355904e+003	(2.48363758367489e+001dB,-8.99638842569525e+001°)
9.33254300796985e+003	(2.46363745738864e+001dB,-8.99630430077399e+001°)
9.54992586021430e+003	(2.44363732515068e+001dB,-8.99621821629233e+001°)
9.77237220955804e+003	(2.42363718668052e+001dB,-8.99613012660344e+001°)
9.99999999999993e+003	(2.40363704168444e+001dB,-8.99603998499704e+001°)
1.02329299228075e+004	(2.38363688985489e+001dB,-8.99594774367461e+001°)
1.04712854805089e+004	(2.36363673086980e+001dB,-8.99585335372401e+001°)
1.07151930523760e+004	(2.34363656439196e+001dB,-8.99575676509358e+001°)
1.09647819614318e+004	(2.32363639006822e+001dB,-8.99565792656551e+001°)
1.12201845430196e+004	(2.30363620752882e+001dB,-8.99555678572870e+001°)
1.14815362149688e+004	(2.28363601638658e+001dB,-8.99545328895095e+001°)
1.17489755493952e+004	(2.26363581623603e+001dB,-8.99534738135046e+001°)
1.20226443461740e+004	(2.24363560665264e+001dB,-8.99523900676672e+001°)
1.23026877081237e+004	(2.22363538719184e+001dB,-8.99512810773072e+001°)
1.25892541179416e+004	(2.20363515738812e+001dB,-8.99501462543439e+001°)
1.28824955169313e+004	(2.18363491675403e+001dB,-8.99489849969946e+001°)
1.31825673855640e+004	(2.16363466477915e+001dB,-8.99477966894543e+001°)
1.34896288259164e+004	(2.14363440092898e+001dB,-8.99465807015693e+001°)
1.38038426460288e+004	(2.12363412464386e+001dB,-8.99453363885024e+001°)
1.41253754462274e+004	(2.10363383533775e+001dB,-8.99440630903906e+001°)
1.44543977074592e+004	(2.08363353239697e+001dB,-8.99427601319946e+001°)
1.47910838816820e+004	(2.06363321517893e+001dB,-8.99414268223402e+001°)
1.51356124843620e+004	(2.04363288301076e+001dB,-8.99400624543516e+001°)
1.54881661891247e+004	(2.02363253518787e+001dB,-8.99386663044755e+001°)
1.58489319246110e+004	(2.00363217097246e+001dB,-8.99372376322967e+001°)
1.62181009735892e+004	(1.98363178959196e+001dB,-8.99357756801453e+001°)
1.65958690743755e+004	(1.96363139023740e+001dB,-8.99342796726936e+001°)
1.69824365246173e+004	(1.94363097206167e+001dB,-8.99327488165444e+001°)
1.73780082874936e+004	(1.92363053417773e+001dB,-8.99311822998093e+001°)
1.77827941003891e+004	(1.90363007565676e+001dB,-8.99295792916775e+001°)
1.81970085860997e+004	(1.88362959552613e+001dB,-8.99279389419738e+001°)
1.86208713666285e+004	(1.86362909276740e+001dB,-8.99262603807071e+001°)
1.90546071796323e+004	(1.84362856631411e+001dB,-8.99245427176076e+001°)
1.94984459975803e+004	(1.82362801504954e+001dB,-8.99227850416536e+001°)
1.99526231496887e+004	(1.80362743780435e+001dB,-8.99209864205870e+001°)
2.04173794466951e+004	(1.78362683335408e+001dB,-8.99191459004175e+001°)
2.08929613085402e+004	(1.76362620041655e+001dB,-8.99172625049154e+001°)
2.13796208950222e+004	(1.74362553764916e+001dB,-8.99153352350918e+001°)
2.18776162394954e+004	(1.72362484364604e+001dB,-8.99133630686674e+001°)
2.23872113856832e+004	(1.70362411693505e+001dB,-8.99113449595286e+001°)
2.29086765276776e+004	(1.68362335597466e+001dB,-8.99092798371703e+001°)
2.34422881531990e+004	(1.66362255915069e+001dB,-8.99071666061264e+001°)
2.39883291901947e+004	(1.64362172477288e+001dB,-8.99050041453863e+001°)
2.45470891568501e+004	(1.62362085107131e+001dB,-8.99027913077982e+001°)
2.51188643150956e+004	(1.60361993619264e+001dB,-8.99005269194577e+001°)
2.57039578276884e+004	(1.58361897819617e+001dB,-8.98982097790826e+001°)
2.63026799189536e+004	(1.56361797504974e+001dB,-8.98958386573727e+001°)
2.69153480392689e+004	(1.54361692462539e+001dB,-8.98934122963545e+001°)
2.75422870333814e+004	(1.52361582469490e+001dB,-8.98909294087106e+001°)
2.81838293126443e+004	(1.50361467292497e+001dB,-8.98883886770933e+001°)
2.88403150312658e+004	(1.48361346687239e+001dB,-8.98857887534216e+001°)
2.95120922666636e+004	(1.46361220397874e+001dB,-8.98831282581620e+001°)
3.01995172040199e+004	(1.44361088156504e+001dB,-8.98804057795925e+001°)
3.09029543251357e+004	(1.42360949682603e+001dB,-8.98776198730482e+001°)
3.16227766016835e+004	(1.40360804682424e+001dB,-8.98747690601504e+001°)
3.23593656929626e+004	(1.38360652848371e+001dB,-8.98718518280164e+001°)
3.31131121482588e+004	(1.36360493858353e+001dB,-8.98688666284510e+001°)
3.38844156139200e+004	(1.34360327375096e+001dB,-8.98658118771187e+001°)
3.46736850452529e+004	(1.32360153045429e+001dB,-8.98626859526966e+001°)
3.54813389233573e+004	(1.30359970499532e+001dB,-8.98594871960063e+001°)
3.63078054770098e+004	(1.28359779350155e+001dB,-8.98562139091262e+001°)
3.71535229097169e+004	(1.26359579191796e+001dB,-8.98528643544820e+001°)
3.80189396320558e+004	(1.24359369599834e+001dB,-8.98494367539157e+001°)
3.89045144994277e+004	(1.22359150129638e+001dB,-8.98459292877322e+001°)
3.98107170553494e+004	(1.20358920315614e+001dB,-8.98423400937240e+001°)
4.07380277804109e+004	(1.18358679670225e+001dB,-8.98386672661708e+001°)
4.16869383470332e+004	(1.16358427682948e+001dB,-8.98349088548172e+001°)
4.26579518801589e+004	(1.14358163819197e+001dB,-8.98310628638246e+001°)
4.36515832240162e+004	(1.12357887519186e+001dB,-8.98271272506981e+001°)
4.46683592150959e+004	(1.10357598196739e+001dB,-8.98230999251879e+001°)
4.57088189614871e+004	(1.08357295238050e+001dB,-8.98189787481642e+001°)
4.67735141287194e+004	(1.06356978000377e+001dB,-8.98147615304650e+001°)
4.78630092322634e+004	(1.04356645810675e+001dB,-8.98104460317157e+001°)
4.89778819368442e+004	(1.02356297964174e+001dB,-8.98060299591206e+001°)
5.01187233627268e+004	(1.00355933722879e+001dB,-8.98015109662250e+001°)
5.12861383991360e+004	(9.83555523140005e+000dB,-8.97968866516472e+001°)
5.24807460249768e+004	(9.63551529283190e+000dB,-8.97921545577797e+001°)
5.37031796370248e+004	(9.43547347184637e+000dB,-8.97873121694586e+001°)
5.49540873857620e+004	(9.23542967971139e+000dB,-8.97823569126009e+001°)
5.62341325190344e+004	(9.03538382351151e+000dB,-8.97772861528080e+001°)
5.75439937337152e+004	(8.83533580595052e+000dB,-8.97720971939353e+001°)
5.88843655355584e+004	(8.63528552514492e+000dB,-8.97667872766267e+001°)
6.02559586074352e+004	(8.43523287440748e+000dB,-8.97613535768126e+001°)
6.16595001861477e+004	(8.23517774202065e+000dB,-8.97557932041710e+001°)
6.30957344480187e+004	(8.03512001099928e+000dB,-8.97501032005508e+001°)
